Perplexity = 131.89, Entropy = 7.04 bits,docLen = 1262
Perplexity = 98.41, Entropy = 6.62 bits,docLen = 1505
Perplexity = 135.57, Entropy = 7.08 bits,docLen = 540
Perplexity = 81.86, Entropy = 6.36 bits,docLen = 625
Perplexity = 214.88, Entropy = 7.75 bits,docLen = 398
Perplexity = 156.16, Entropy = 7.29 bits,docLen = 890
Perplexity = 408.02, Entropy = 8.67 bits,docLen = 287
Perplexity = 94.69, Entropy = 6.57 bits,docLen = 611
Perplexity = 193.65, Entropy = 7.60 bits,docLen = 504
Perplexity = 151.85, Entropy = 7.25 bits,docLen = 314
Perplexity = 137.49, Entropy = 7.10 bits,docLen = 304
Perplexity = 176.67, Entropy = 7.46 bits,docLen = 304
Perplexity = 100.03, Entropy = 6.64 bits,docLen = 300
Perplexity = 150.20, Entropy = 7.23 bits,docLen = 464
Perplexity = 161.67, Entropy = 7.34 bits,docLen = 475
Perplexity = 170.71, Entropy = 7.42 bits,docLen = 497
Perplexity = 253.32, Entropy = 7.98 bits,docLen = 367
Perplexity = 169.89, Entropy = 7.41 bits,docLen = 673
Perplexity = 116.52, Entropy = 6.86 bits,docLen = 412
Perplexity = 137.35, Entropy = 7.10 bits,docLen = 527
Perplexity = 129.49, Entropy = 7.02 bits,docLen = 352
Perplexity = 182.75, Entropy = 7.51 bits,docLen = 465
Perplexity = 172.75, Entropy = 7.43 bits,docLen = 361
Perplexity = 211.01, Entropy = 7.72 bits,docLen = 357
Perplexity = 143.61, Entropy = 7.17 bits,docLen = 566
Perplexity = 192.88, Entropy = 7.59 bits,docLen = 380
Perplexity = 218.74, Entropy = 7.77 bits,docLen = 1532
Perplexity = 245.86, Entropy = 7.94 bits,docLen = 393
Perplexity = 157.10, Entropy = 7.30 bits,docLen = 1399
Perplexity = 237.74, Entropy = 7.89 bits,docLen = 319
Perplexity = 144.44, Entropy = 7.17 bits,docLen = 478
Perplexity = 180.56, Entropy = 7.50 bits,docLen = 441
Perplexity = 168.40, Entropy = 7.40 bits,docLen = 477
