Perplexity = 112.27, Entropy = 6.81 bits,docLen = 67
Perplexity = 321.29, Entropy = 8.33 bits,docLen = 69
Perplexity = 135.25, Entropy = 7.08 bits,docLen = 90
Perplexity = 60.53, Entropy = 5.92 bits,docLen = 57
Perplexity = 148.13, Entropy = 7.21 bits,docLen = 40
Perplexity = 50.03, Entropy = 5.64 bits,docLen = 126
Perplexity = 178.65, Entropy = 7.48 bits,docLen = 96
Perplexity = 125.07, Entropy = 6.97 bits,docLen = 120
Perplexity = 86.08, Entropy = 6.43 bits,docLen = 68
Perplexity = 99.97, Entropy = 6.64 bits,docLen = 90
Perplexity = 175.66, Entropy = 7.46 bits,docLen = 94
Perplexity = 173.13, Entropy = 7.44 bits,docLen = 144
Perplexity = 66.99, Entropy = 6.07 bits,docLen = 71
Perplexity = 219.75, Entropy = 7.78 bits,docLen = 112
Perplexity = 61.87, Entropy = 5.95 bits,docLen = 82
Perplexity = 112.79, Entropy = 6.82 bits,docLen = 93
Perplexity = 211.92, Entropy = 7.73 bits,docLen = 48
Perplexity = 121.03, Entropy = 6.92 bits,docLen = 127
Perplexity = 283.96, Entropy = 8.15 bits,docLen = 158
Perplexity = 71.96, Entropy = 6.17 bits,docLen = 97
Perplexity = 70.98, Entropy = 6.15 bits,docLen = 56
Perplexity = 92.98, Entropy = 6.54 bits,docLen = 145
Perplexity = 101.32, Entropy = 6.66 bits,docLen = 95
Perplexity = 158.64, Entropy = 7.31 bits,docLen = 146
Perplexity = 116.01, Entropy = 6.86 bits,docLen = 160
Perplexity = 106.87, Entropy = 6.74 bits,docLen = 83
Perplexity = 98.87, Entropy = 6.63 bits,docLen = 117
Perplexity = 77.91, Entropy = 6.28 bits,docLen = 135
Perplexity = 100.75, Entropy = 6.65 bits,docLen = 66
Perplexity = 108.03, Entropy = 6.76 bits,docLen = 129
Perplexity = 126.42, Entropy = 6.98 bits,docLen = 100
Perplexity = 67.25, Entropy = 6.07 bits,docLen = 80
Perplexity = 181.88, Entropy = 7.51 bits,docLen = 75
Perplexity = 224.15, Entropy = 7.81 bits,docLen = 129
Perplexity = 118.28, Entropy = 6.89 bits,docLen = 142
Perplexity = 98.98, Entropy = 6.63 bits,docLen = 94
Perplexity = 188.31, Entropy = 7.56 bits,docLen = 113
Perplexity = 247.23, Entropy = 7.95 bits,docLen = 201
