Perplexity = 652.28, Entropy = 9.35 bits,docLen = 28
Perplexity = 77.96, Entropy = 6.28 bits,docLen = 27
Perplexity = 30.48, Entropy = 4.93 bits,docLen = 16
Perplexity = 102.97, Entropy = 6.69 bits,docLen = 24
Perplexity = 221.53, Entropy = 7.79 bits,docLen = 19
Perplexity = 529.75, Entropy = 9.05 bits,docLen = 8
Perplexity = 636.73, Entropy = 9.31 bits,docLen = 9
Perplexity = 169.19, Entropy = 7.40 bits,docLen = 26
Perplexity = 414.73, Entropy = 8.70 bits,docLen = 17
Perplexity = 111.63, Entropy = 6.80 bits,docLen = 12
Perplexity = 29.53, Entropy = 4.88 bits,docLen = 8
Perplexity = 66.02, Entropy = 6.04 bits,docLen = 47
Perplexity = 50.41, Entropy = 5.66 bits,docLen = 27
Perplexity = 60.86, Entropy = 5.93 bits,docLen = 31
Perplexity = 84.57, Entropy = 6.40 bits,docLen = 23
Perplexity = 56.14, Entropy = 5.81 bits,docLen = 4
Perplexity = 154.19, Entropy = 7.27 bits,docLen = 22
Perplexity = 54.82, Entropy = 5.78 bits,docLen = 12
Perplexity = 82.37, Entropy = 6.36 bits,docLen = 24
Perplexity = 70.72, Entropy = 6.14 bits,docLen = 52
Perplexity = 98.15, Entropy = 6.62 bits,docLen = 19
Perplexity = 195.88, Entropy = 7.61 bits,docLen = 13
Perplexity = 238.99, Entropy = 7.90 bits,docLen = 30
Perplexity = 258.40, Entropy = 8.01 bits,docLen = 11
Perplexity = 96.49, Entropy = 6.59 bits,docLen = 23
Perplexity = 140.80, Entropy = 7.14 bits,docLen = 35
Perplexity = 31.32, Entropy = 4.97 bits,docLen = 25
Perplexity = 90.78, Entropy = 6.50 bits,docLen = 10
Perplexity = 88.36, Entropy = 6.47 bits,docLen = 30
Perplexity = 89.61, Entropy = 6.49 bits,docLen = 26
Perplexity = 32.96, Entropy = 5.04 bits,docLen = 12
Perplexity = 519.23, Entropy = 9.02 bits,docLen = 16
Perplexity = 81.82, Entropy = 6.35 bits,docLen = 20
Perplexity = 75.69, Entropy = 6.24 bits,docLen = 18
Perplexity = 107.51, Entropy = 6.75 bits,docLen = 31
Perplexity = 198.82, Entropy = 7.64 bits,docLen = 77
Perplexity = 99.76, Entropy = 6.64 bits,docLen = 25
Perplexity = 80.05, Entropy = 6.32 bits,docLen = 14
Perplexity = 9.62, Entropy = 3.27 bits,docLen = 22
Perplexity = 88.14, Entropy = 6.46 bits,docLen = 22
Perplexity = 51.26, Entropy = 5.68 bits,docLen = 32
Perplexity = 98.69, Entropy = 6.62 bits,docLen = 19
Perplexity = 53.78, Entropy = 5.75 bits,docLen = 48
Perplexity = 302.05, Entropy = 8.24 bits,docLen = 39
Perplexity = 61.88, Entropy = 5.95 bits,docLen = 59
Perplexity = 541.73, Entropy = 9.08 bits,docLen = 23
Perplexity = 233.94, Entropy = 7.87 bits,docLen = 63
Perplexity = 145.26, Entropy = 7.18 bits,docLen = 59
Perplexity = 279.66, Entropy = 8.13 bits,docLen = 35
Perplexity = 201.30, Entropy = 7.65 bits,docLen = 76
Perplexity = 76.58, Entropy = 6.26 bits,docLen = 32
Perplexity = 252.44, Entropy = 7.98 bits,docLen = 22
Perplexity = 67.98, Entropy = 6.09 bits,docLen = 52
Perplexity = 113.10, Entropy = 6.82 bits,docLen = 50
Perplexity = 76.78, Entropy = 6.26 bits,docLen = 44
Perplexity = 276.17, Entropy = 8.11 bits,docLen = 40
Perplexity = 95.79, Entropy = 6.58 bits,docLen = 44
Perplexity = 266.46, Entropy = 8.06 bits,docLen = 16
Perplexity = 644.14, Entropy = 9.33 bits,docLen = 39
Perplexity = 128.26, Entropy = 7.00 bits,docLen = 45
Perplexity = 73.92, Entropy = 6.21 bits,docLen = 46
Perplexity = 126.14, Entropy = 6.98 bits,docLen = 40
Perplexity = 201.96, Entropy = 7.66 bits,docLen = 57
Perplexity = 115.36, Entropy = 6.85 bits,docLen = 36
Perplexity = 5.84, Entropy = 2.55 bits,docLen = 18
Perplexity = 161.35, Entropy = 7.33 bits,docLen = 19
Perplexity = 182.32, Entropy = 7.51 bits,docLen = 65
Perplexity = 129.90, Entropy = 7.02 bits,docLen = 55
Perplexity = 166.38, Entropy = 7.38 bits,docLen = 69
Perplexity = 90.60, Entropy = 6.50 bits,docLen = 48
Perplexity = 169.94, Entropy = 7.41 bits,docLen = 48
Perplexity = 272.76, Entropy = 8.09 bits,docLen = 26
Perplexity = 26.56, Entropy = 4.73 bits,docLen = 46
