Perplexity = 131.82, Entropy = 7.04 bits,docLen = 1262
Perplexity = 100.49, Entropy = 6.65 bits,docLen = 1505
Perplexity = 140.41, Entropy = 7.13 bits,docLen = 540
Perplexity = 85.07, Entropy = 6.41 bits,docLen = 625
Perplexity = 215.43, Entropy = 7.75 bits,docLen = 398
Perplexity = 159.72, Entropy = 7.32 bits,docLen = 890
Perplexity = 412.91, Entropy = 8.69 bits,docLen = 287
Perplexity = 146.76, Entropy = 7.20 bits,docLen = 611
Perplexity = 189.15, Entropy = 7.56 bits,docLen = 504
Perplexity = 158.07, Entropy = 7.30 bits,docLen = 314
Perplexity = 143.06, Entropy = 7.16 bits,docLen = 304
Perplexity = 194.30, Entropy = 7.60 bits,docLen = 304
Perplexity = 102.72, Entropy = 6.68 bits,docLen = 300
Perplexity = 154.38, Entropy = 7.27 bits,docLen = 464
Perplexity = 163.72, Entropy = 7.36 bits,docLen = 475
Perplexity = 174.17, Entropy = 7.44 bits,docLen = 497
Perplexity = 251.71, Entropy = 7.98 bits,docLen = 367
Perplexity = 173.96, Entropy = 7.44 bits,docLen = 673
Perplexity = 118.41, Entropy = 6.89 bits,docLen = 412
Perplexity = 146.52, Entropy = 7.19 bits,docLen = 527
Perplexity = 137.07, Entropy = 7.10 bits,docLen = 352
Perplexity = 183.20, Entropy = 7.52 bits,docLen = 465
Perplexity = 176.66, Entropy = 7.46 bits,docLen = 361
Perplexity = 209.80, Entropy = 7.71 bits,docLen = 357
Perplexity = 147.92, Entropy = 7.21 bits,docLen = 566
Perplexity = 197.34, Entropy = 7.62 bits,docLen = 380
Perplexity = 229.27, Entropy = 7.84 bits,docLen = 1532
Perplexity = 239.10, Entropy = 7.90 bits,docLen = 393
Perplexity = 158.20, Entropy = 7.31 bits,docLen = 1399
Perplexity = 238.36, Entropy = 7.90 bits,docLen = 319
Perplexity = 151.54, Entropy = 7.24 bits,docLen = 478
Perplexity = 181.18, Entropy = 7.50 bits,docLen = 441
Perplexity = 174.67, Entropy = 7.45 bits,docLen = 477
Perplexity = 242.58, Entropy = 7.92 bits,docLen = 444
Perplexity = 133.49, Entropy = 7.06 bits,docLen = 305
Perplexity = 149.06, Entropy = 7.22 bits,docLen = 379
Perplexity = 136.60, Entropy = 7.09 bits,docLen = 1011
Perplexity = 121.93, Entropy = 6.93 bits,docLen = 569
Perplexity = 169.90, Entropy = 7.41 bits,docLen = 412
Perplexity = 124.25, Entropy = 6.96 bits,docLen = 2660
Perplexity = 62.53, Entropy = 5.97 bits,docLen = 406
Perplexity = 135.50, Entropy = 7.08 bits,docLen = 971
Perplexity = 149.27, Entropy = 7.22 bits,docLen = 550
Perplexity = 130.17, Entropy = 7.02 bits,docLen = 451
Perplexity = 166.21, Entropy = 7.38 bits,docLen = 494
Perplexity = 191.69, Entropy = 7.58 bits,docLen = 465
Perplexity = 218.94, Entropy = 7.77 bits,docLen = 403
Perplexity = 147.85, Entropy = 7.21 bits,docLen = 2684
Perplexity = 267.66, Entropy = 8.06 bits,docLen = 373
Perplexity = 143.04, Entropy = 7.16 bits,docLen = 364
Perplexity = 126.63, Entropy = 6.98 bits,docLen = 524
Perplexity = 205.74, Entropy = 7.68 bits,docLen = 1121
Perplexity = 147.71, Entropy = 7.21 bits,docLen = 362
Perplexity = 162.05, Entropy = 7.34 bits,docLen = 481
Perplexity = 201.34, Entropy = 7.65 bits,docLen = 1084
Perplexity = 116.70, Entropy = 6.87 bits,docLen = 534
Perplexity = 162.74, Entropy = 7.35 bits,docLen = 905
Perplexity = 100.40, Entropy = 6.65 bits,docLen = 1543
Perplexity = 139.18, Entropy = 7.12 bits,docLen = 383
Perplexity = 116.13, Entropy = 6.86 bits,docLen = 208
Perplexity = 115.15, Entropy = 6.85 bits,docLen = 334
Perplexity = 164.36, Entropy = 7.36 bits,docLen = 491
Perplexity = 155.98, Entropy = 7.29 bits,docLen = 1293
Perplexity = 185.20, Entropy = 7.53 bits,docLen = 990
Perplexity = 127.03, Entropy = 6.99 bits,docLen = 4216
Perplexity = 163.44, Entropy = 7.35 bits,docLen = 629
Perplexity = 104.59, Entropy = 6.71 bits,docLen = 477
Perplexity = 193.42, Entropy = 7.60 bits,docLen = 454
Perplexity = 154.49, Entropy = 7.27 bits,docLen = 1120
Perplexity = 216.55, Entropy = 7.76 bits,docLen = 383
Perplexity = 112.31, Entropy = 6.81 bits,docLen = 960
Perplexity = 149.73, Entropy = 7.23 bits,docLen = 550
Perplexity = 167.44, Entropy = 7.39 bits,docLen = 1308
Perplexity = 141.31, Entropy = 7.14 bits,docLen = 513
Perplexity = 191.85, Entropy = 7.58 bits,docLen = 823
Perplexity = 106.06, Entropy = 6.73 bits,docLen = 1194
Perplexity = 124.61, Entropy = 6.96 bits,docLen = 1382
Perplexity = 189.66, Entropy = 7.57 bits,docLen = 288
Perplexity = 154.84, Entropy = 7.27 bits,docLen = 1118
Perplexity = 209.26, Entropy = 7.71 bits,docLen = 1073
Perplexity = 190.58, Entropy = 7.57 bits,docLen = 370
Perplexity = 152.07, Entropy = 7.25 bits,docLen = 4050
Perplexity = 112.63, Entropy = 6.82 bits,docLen = 471
Perplexity = 134.88, Entropy = 7.08 bits,docLen = 432
Perplexity = 194.91, Entropy = 7.61 bits,docLen = 399
Perplexity = 156.43, Entropy = 7.29 bits,docLen = 1219
Perplexity = 142.64, Entropy = 7.16 bits,docLen = 289
Perplexity = 224.67, Entropy = 7.81 bits,docLen = 632
Perplexity = 105.21, Entropy = 6.72 bits,docLen = 1499
Perplexity = 165.86, Entropy = 7.37 bits,docLen = 391
Perplexity = 149.30, Entropy = 7.22 bits,docLen = 520
Perplexity = 152.29, Entropy = 7.25 bits,docLen = 342
Perplexity = 165.06, Entropy = 7.37 bits,docLen = 1029
