Perplexity = 136.77, Entropy = 7.10 bits,docLen = 1262
Perplexity = 100.00, Entropy = 6.64 bits,docLen = 1505
Perplexity = 140.81, Entropy = 7.14 bits,docLen = 540
Perplexity = 79.11, Entropy = 6.31 bits,docLen = 625
Perplexity = 221.58, Entropy = 7.79 bits,docLen = 398
Perplexity = 163.19, Entropy = 7.35 bits,docLen = 890
Perplexity = 416.89, Entropy = 8.70 bits,docLen = 287
Perplexity = 93.44, Entropy = 6.55 bits,docLen = 611
Perplexity = 190.56, Entropy = 7.57 bits,docLen = 504
Perplexity = 162.51, Entropy = 7.34 bits,docLen = 314
Perplexity = 146.45, Entropy = 7.19 bits,docLen = 304
Perplexity = 182.99, Entropy = 7.52 bits,docLen = 304
Perplexity = 105.33, Entropy = 6.72 bits,docLen = 300
Perplexity = 149.26, Entropy = 7.22 bits,docLen = 464
Perplexity = 160.65, Entropy = 7.33 bits,docLen = 475
Perplexity = 174.82, Entropy = 7.45 bits,docLen = 497
Perplexity = 260.74, Entropy = 8.03 bits,docLen = 367
Perplexity = 182.20, Entropy = 7.51 bits,docLen = 673
Perplexity = 121.71, Entropy = 6.93 bits,docLen = 412
Perplexity = 136.35, Entropy = 7.09 bits,docLen = 527
Perplexity = 140.99, Entropy = 7.14 bits,docLen = 352
Perplexity = 178.03, Entropy = 7.48 bits,docLen = 465
Perplexity = 172.81, Entropy = 7.43 bits,docLen = 361
Perplexity = 211.35, Entropy = 7.72 bits,docLen = 357
Perplexity = 154.52, Entropy = 7.27 bits,docLen = 566
Perplexity = 193.62, Entropy = 7.60 bits,docLen = 380
Perplexity = 222.97, Entropy = 7.80 bits,docLen = 1532
Perplexity = 252.72, Entropy = 7.98 bits,docLen = 393
Perplexity = 164.29, Entropy = 7.36 bits,docLen = 1399
Perplexity = 246.25, Entropy = 7.94 bits,docLen = 319
Perplexity = 155.37, Entropy = 7.28 bits,docLen = 478
Perplexity = 187.01, Entropy = 7.55 bits,docLen = 441
Perplexity = 168.94, Entropy = 7.40 bits,docLen = 477
Perplexity = 247.38, Entropy = 7.95 bits,docLen = 444
Perplexity = 141.42, Entropy = 7.14 bits,docLen = 305
Perplexity = 143.30, Entropy = 7.16 bits,docLen = 379
Perplexity = 137.63, Entropy = 7.10 bits,docLen = 1011
Perplexity = 123.34, Entropy = 6.95 bits,docLen = 569
Perplexity = 172.55, Entropy = 7.43 bits,docLen = 412
Perplexity = 121.64, Entropy = 6.93 bits,docLen = 2660
Perplexity = 60.25, Entropy = 5.91 bits,docLen = 406
Perplexity = 140.88, Entropy = 7.14 bits,docLen = 971
