Perplexity = 150.60, Entropy = 7.23 bits,docLen = 415
Perplexity = 225.71, Entropy = 7.82 bits,docLen = 498
Perplexity = 113.91, Entropy = 6.83 bits,docLen = 6359
Perplexity = 170.56, Entropy = 7.41 bits,docLen = 449
Perplexity = 254.36, Entropy = 7.99 bits,docLen = 802
Perplexity = 342.44, Entropy = 8.42 bits,docLen = 485
Perplexity = 131.85, Entropy = 7.04 bits,docLen = 530
Perplexity = 120.33, Entropy = 6.91 bits,docLen = 1127
Perplexity = 154.53, Entropy = 7.27 bits,docLen = 909
Perplexity = 148.92, Entropy = 7.22 bits,docLen = 1233
Perplexity = 166.53, Entropy = 7.38 bits,docLen = 328
Perplexity = 101.66, Entropy = 6.67 bits,docLen = 5831
Perplexity = 142.74, Entropy = 7.16 bits,docLen = 500
Perplexity = 127.77, Entropy = 7.00 bits,docLen = 645
Perplexity = 108.16, Entropy = 6.76 bits,docLen = 1539
Perplexity = 149.23, Entropy = 7.22 bits,docLen = 517
Perplexity = 104.08, Entropy = 6.70 bits,docLen = 615
Perplexity = 129.84, Entropy = 7.02 bits,docLen = 390
Perplexity = 134.04, Entropy = 7.07 bits,docLen = 559
Perplexity = 125.35, Entropy = 6.97 bits,docLen = 7161
Perplexity = 80.70, Entropy = 6.33 bits,docLen = 325
Perplexity = 156.81, Entropy = 7.29 bits,docLen = 527
Perplexity = 104.66, Entropy = 6.71 bits,docLen = 800
Perplexity = 152.75, Entropy = 7.26 bits,docLen = 484
Perplexity = 98.41, Entropy = 6.62 bits,docLen = 541
Perplexity = 140.05, Entropy = 7.13 bits,docLen = 926
Perplexity = 253.39, Entropy = 7.99 bits,docLen = 431
Perplexity = 227.83, Entropy = 7.83 bits,docLen = 471
Perplexity = 120.45, Entropy = 6.91 bits,docLen = 1533
Perplexity = 141.15, Entropy = 7.14 bits,docLen = 6816
Perplexity = 122.56, Entropy = 6.94 bits,docLen = 1123
Perplexity = 77.48, Entropy = 6.28 bits,docLen = 243
Perplexity = 122.92, Entropy = 6.94 bits,docLen = 502
Perplexity = 238.01, Entropy = 7.89 bits,docLen = 491
Perplexity = 113.89, Entropy = 6.83 bits,docLen = 526
Perplexity = 106.86, Entropy = 6.74 bits,docLen = 333
Perplexity = 111.58, Entropy = 6.80 bits,docLen = 308
Perplexity = 89.49, Entropy = 6.48 bits,docLen = 275
Perplexity = 227.29, Entropy = 7.83 bits,docLen = 374
Perplexity = 148.09, Entropy = 7.21 bits,docLen = 434
Perplexity = 145.09, Entropy = 7.18 bits,docLen = 700
Perplexity = 152.18, Entropy = 7.25 bits,docLen = 381
Perplexity = 216.24, Entropy = 7.76 bits,docLen = 507
Perplexity = 146.08, Entropy = 7.19 bits,docLen = 1944
Perplexity = 132.66, Entropy = 7.05 bits,docLen = 238
Perplexity = 160.26, Entropy = 7.32 bits,docLen = 659
Perplexity = 168.70, Entropy = 7.40 bits,docLen = 1739
Perplexity = 186.54, Entropy = 7.54 bits,docLen = 560
Perplexity = 110.51, Entropy = 6.79 bits,docLen = 640
Perplexity = 99.82, Entropy = 6.64 bits,docLen = 173
Perplexity = 115.77, Entropy = 6.86 bits,docLen = 1819
Perplexity = 120.64, Entropy = 6.91 bits,docLen = 590
Perplexity = 123.57, Entropy = 6.95 bits,docLen = 1064
Perplexity = 136.58, Entropy = 7.09 bits,docLen = 643
Perplexity = 71.63, Entropy = 6.16 bits,docLen = 1378
Perplexity = 231.89, Entropy = 7.86 bits,docLen = 405
Perplexity = 161.46, Entropy = 7.34 bits,docLen = 574
Perplexity = 87.30, Entropy = 6.45 bits,docLen = 1207
Perplexity = 190.84, Entropy = 7.58 bits,docLen = 540
Perplexity = 268.99, Entropy = 8.07 bits,docLen = 199
Perplexity = 130.51, Entropy = 7.03 bits,docLen = 1154
Perplexity = 131.97, Entropy = 7.04 bits,docLen = 705
Perplexity = 124.90, Entropy = 6.96 bits,docLen = 1777
Perplexity = 256.71, Entropy = 8.00 bits,docLen = 557
Perplexity = 116.89, Entropy = 6.87 bits,docLen = 517
Perplexity = 129.60, Entropy = 7.02 bits,docLen = 1176
Perplexity = 116.55, Entropy = 6.86 bits,docLen = 524
Perplexity = 137.68, Entropy = 7.11 bits,docLen = 504
Perplexity = 227.17, Entropy = 7.83 bits,docLen = 1150
Perplexity = 321.26, Entropy = 8.33 bits,docLen = 610
Perplexity = 129.32, Entropy = 7.01 bits,docLen = 683
Perplexity = 216.38, Entropy = 7.76 bits,docLen = 1021
Perplexity = 147.41, Entropy = 7.20 bits,docLen = 446
Perplexity = 114.62, Entropy = 6.84 bits,docLen = 459
Perplexity = 163.80, Entropy = 7.36 bits,docLen = 746
Perplexity = 180.55, Entropy = 7.50 bits,docLen = 518
Perplexity = 118.68, Entropy = 6.89 bits,docLen = 169
Perplexity = 205.84, Entropy = 7.69 bits,docLen = 454
Perplexity = 147.40, Entropy = 7.20 bits,docLen = 430
Perplexity = 105.95, Entropy = 6.73 bits,docLen = 853
Perplexity = 104.45, Entropy = 6.71 bits,docLen = 367
Perplexity = 129.36, Entropy = 7.02 bits,docLen = 459
Perplexity = 137.20, Entropy = 7.10 bits,docLen = 5492
Perplexity = 130.63, Entropy = 7.03 bits,docLen = 975
Perplexity = 110.63, Entropy = 6.79 bits,docLen = 490
Perplexity = 139.71, Entropy = 7.13 bits,docLen = 6027
Perplexity = 157.37, Entropy = 7.30 bits,docLen = 691
Perplexity = 204.90, Entropy = 7.68 bits,docLen = 536
Perplexity = 213.24, Entropy = 7.74 bits,docLen = 396
Perplexity = 132.72, Entropy = 7.05 bits,docLen = 5468
Perplexity = 147.04, Entropy = 7.20 bits,docLen = 771
Perplexity = 101.34, Entropy = 6.66 bits,docLen = 161
Perplexity = 127.85, Entropy = 7.00 bits,docLen = 605
Perplexity = 133.71, Entropy = 7.06 bits,docLen = 795
Perplexity = 128.94, Entropy = 7.01 bits,docLen = 687
Perplexity = 123.64, Entropy = 6.95 bits,docLen = 226
Perplexity = 156.61, Entropy = 7.29 bits,docLen = 721
Perplexity = 124.63, Entropy = 6.96 bits,docLen = 4493
Perplexity = 133.56, Entropy = 7.06 bits,docLen = 640
Perplexity = 209.03, Entropy = 7.71 bits,docLen = 466
Perplexity = 141.76, Entropy = 7.15 bits,docLen = 1175
Perplexity = 104.79, Entropy = 6.71 bits,docLen = 4830
Perplexity = 109.38, Entropy = 6.77 bits,docLen = 5416
Perplexity = 116.50, Entropy = 6.86 bits,docLen = 557
Perplexity = 224.14, Entropy = 7.81 bits,docLen = 591
Perplexity = 139.33, Entropy = 7.12 bits,docLen = 724
Perplexity = 134.18, Entropy = 7.07 bits,docLen = 894
Perplexity = 55.45, Entropy = 5.79 bits,docLen = 269
Perplexity = 156.44, Entropy = 7.29 bits,docLen = 837
Perplexity = 224.06, Entropy = 7.81 bits,docLen = 473
Perplexity = 116.56, Entropy = 6.86 bits,docLen = 417
Perplexity = 142.85, Entropy = 7.16 bits,docLen = 630
Perplexity = 228.25, Entropy = 7.83 bits,docLen = 464
Perplexity = 371.09, Entropy = 8.54 bits,docLen = 696
Perplexity = 228.71, Entropy = 7.84 bits,docLen = 486
Perplexity = 108.95, Entropy = 6.77 bits,docLen = 302
Perplexity = 102.91, Entropy = 6.69 bits,docLen = 719
Perplexity = 166.29, Entropy = 7.38 bits,docLen = 411
Perplexity = 83.37, Entropy = 6.38 bits,docLen = 4320
Perplexity = 133.56, Entropy = 7.06 bits,docLen = 1182
Perplexity = 140.09, Entropy = 7.13 bits,docLen = 4471
Perplexity = 134.81, Entropy = 7.07 bits,docLen = 834
