Perplexity = 134.81, Entropy = 7.07 bits,docLen = 1262
Perplexity = 99.14, Entropy = 6.63 bits,docLen = 1505
Perplexity = 140.21, Entropy = 7.13 bits,docLen = 540
Perplexity = 79.14, Entropy = 6.31 bits,docLen = 625
Perplexity = 217.34, Entropy = 7.76 bits,docLen = 398
Perplexity = 160.68, Entropy = 7.33 bits,docLen = 890
Perplexity = 417.17, Entropy = 8.70 bits,docLen = 287
Perplexity = 92.93, Entropy = 6.54 bits,docLen = 611
Perplexity = 188.96, Entropy = 7.56 bits,docLen = 504
Perplexity = 160.52, Entropy = 7.33 bits,docLen = 314
Perplexity = 143.90, Entropy = 7.17 bits,docLen = 304
Perplexity = 180.77, Entropy = 7.50 bits,docLen = 304
Perplexity = 105.87, Entropy = 6.73 bits,docLen = 300
Perplexity = 148.70, Entropy = 7.22 bits,docLen = 464
Perplexity = 160.92, Entropy = 7.33 bits,docLen = 475
Perplexity = 175.47, Entropy = 7.46 bits,docLen = 497
Perplexity = 260.32, Entropy = 8.02 bits,docLen = 367
Perplexity = 179.30, Entropy = 7.49 bits,docLen = 673
Perplexity = 121.61, Entropy = 6.93 bits,docLen = 412
Perplexity = 135.32, Entropy = 7.08 bits,docLen = 527
Perplexity = 137.69, Entropy = 7.11 bits,docLen = 352
Perplexity = 178.71, Entropy = 7.48 bits,docLen = 465
Perplexity = 172.87, Entropy = 7.43 bits,docLen = 361
Perplexity = 213.06, Entropy = 7.74 bits,docLen = 357
Perplexity = 152.59, Entropy = 7.25 bits,docLen = 566
Perplexity = 192.87, Entropy = 7.59 bits,docLen = 380
Perplexity = 222.57, Entropy = 7.80 bits,docLen = 1532
Perplexity = 249.73, Entropy = 7.96 bits,docLen = 393
Perplexity = 162.71, Entropy = 7.35 bits,docLen = 1399
Perplexity = 243.55, Entropy = 7.93 bits,docLen = 319
Perplexity = 152.47, Entropy = 7.25 bits,docLen = 478
Perplexity = 186.07, Entropy = 7.54 bits,docLen = 441
Perplexity = 165.86, Entropy = 7.37 bits,docLen = 477
Perplexity = 244.68, Entropy = 7.93 bits,docLen = 444
Perplexity = 140.65, Entropy = 7.14 bits,docLen = 305
Perplexity = 142.60, Entropy = 7.16 bits,docLen = 379
Perplexity = 137.29, Entropy = 7.10 bits,docLen = 1011
Perplexity = 122.01, Entropy = 6.93 bits,docLen = 569
Perplexity = 172.75, Entropy = 7.43 bits,docLen = 412
Perplexity = 120.70, Entropy = 6.92 bits,docLen = 2660
Perplexity = 60.67, Entropy = 5.92 bits,docLen = 406
Perplexity = 140.93, Entropy = 7.14 bits,docLen = 971
Perplexity = 154.71, Entropy = 7.27 bits,docLen = 550
Perplexity = 126.28, Entropy = 6.98 bits,docLen = 451
Perplexity = 162.25, Entropy = 7.34 bits,docLen = 494
Perplexity = 201.87, Entropy = 7.66 bits,docLen = 465
Perplexity = 219.10, Entropy = 7.78 bits,docLen = 403
Perplexity = 152.42, Entropy = 7.25 bits,docLen = 2684
Perplexity = 267.12, Entropy = 8.06 bits,docLen = 373
Perplexity = 148.04, Entropy = 7.21 bits,docLen = 364
Perplexity = 127.08, Entropy = 6.99 bits,docLen = 524
Perplexity = 205.66, Entropy = 7.68 bits,docLen = 1121
Perplexity = 147.28, Entropy = 7.20 bits,docLen = 362
Perplexity = 161.65, Entropy = 7.34 bits,docLen = 481
Perplexity = 201.50, Entropy = 7.65 bits,docLen = 1084
Perplexity = 118.49, Entropy = 6.89 bits,docLen = 534
Perplexity = 164.67, Entropy = 7.36 bits,docLen = 905
Perplexity = 101.09, Entropy = 6.66 bits,docLen = 1543
Perplexity = 139.86, Entropy = 7.13 bits,docLen = 383
Perplexity = 116.12, Entropy = 6.86 bits,docLen = 208
Perplexity = 112.15, Entropy = 6.81 bits,docLen = 334
Perplexity = 171.41, Entropy = 7.42 bits,docLen = 491
Perplexity = 148.77, Entropy = 7.22 bits,docLen = 1293
Perplexity = 182.04, Entropy = 7.51 bits,docLen = 990
Perplexity = 126.99, Entropy = 6.99 bits,docLen = 4216
Perplexity = 163.40, Entropy = 7.35 bits,docLen = 629
Perplexity = 106.41, Entropy = 6.73 bits,docLen = 477
Perplexity = 194.77, Entropy = 7.61 bits,docLen = 454
