Perplexity = 667.39, Entropy = 9.38 bits,docLen = 28
Perplexity = 80.31, Entropy = 6.33 bits,docLen = 27
Perplexity = 21.58, Entropy = 4.43 bits,docLen = 16
Perplexity = 102.63, Entropy = 6.68 bits,docLen = 24
Perplexity = 220.87, Entropy = 7.79 bits,docLen = 19
Perplexity = 529.99, Entropy = 9.05 bits,docLen = 8
Perplexity = 637.33, Entropy = 9.32 bits,docLen = 9
Perplexity = 169.77, Entropy = 7.41 bits,docLen = 26
Perplexity = 414.90, Entropy = 8.70 bits,docLen = 17
Perplexity = 111.29, Entropy = 6.80 bits,docLen = 12
Perplexity = 38.46, Entropy = 5.27 bits,docLen = 8
Perplexity = 69.77, Entropy = 6.12 bits,docLen = 47
Perplexity = 47.44, Entropy = 5.57 bits,docLen = 27
Perplexity = 67.42, Entropy = 6.08 bits,docLen = 31
Perplexity = 83.58, Entropy = 6.39 bits,docLen = 23
Perplexity = 56.15, Entropy = 5.81 bits,docLen = 4
Perplexity = 154.74, Entropy = 7.27 bits,docLen = 22
Perplexity = 62.29, Entropy = 5.96 bits,docLen = 12
Perplexity = 86.60, Entropy = 6.44 bits,docLen = 24
Perplexity = 73.43, Entropy = 6.20 bits,docLen = 52
Perplexity = 97.96, Entropy = 6.61 bits,docLen = 19
Perplexity = 197.06, Entropy = 7.62 bits,docLen = 13
Perplexity = 254.15, Entropy = 7.99 bits,docLen = 30
Perplexity = 258.91, Entropy = 8.02 bits,docLen = 11
Perplexity = 95.16, Entropy = 6.57 bits,docLen = 23
Perplexity = 143.97, Entropy = 7.17 bits,docLen = 35
Perplexity = 34.54, Entropy = 5.11 bits,docLen = 25
Perplexity = 91.92, Entropy = 6.52 bits,docLen = 10
Perplexity = 88.70, Entropy = 6.47 bits,docLen = 30
Perplexity = 95.68, Entropy = 6.58 bits,docLen = 26
Perplexity = 34.18, Entropy = 5.10 bits,docLen = 12
Perplexity = 519.59, Entropy = 9.02 bits,docLen = 16
Perplexity = 76.05, Entropy = 6.25 bits,docLen = 20
Perplexity = 77.27, Entropy = 6.27 bits,docLen = 18
Perplexity = 104.75, Entropy = 6.71 bits,docLen = 31
Perplexity = 203.51, Entropy = 7.67 bits,docLen = 77
Perplexity = 100.71, Entropy = 6.65 bits,docLen = 25
Perplexity = 79.95, Entropy = 6.32 bits,docLen = 14
Perplexity = 9.08, Entropy = 3.18 bits,docLen = 22
Perplexity = 83.25, Entropy = 6.38 bits,docLen = 22
Perplexity = 49.59, Entropy = 5.63 bits,docLen = 32
Perplexity = 92.56, Entropy = 6.53 bits,docLen = 19
Perplexity = 53.24, Entropy = 5.73 bits,docLen = 48
Perplexity = 306.65, Entropy = 8.26 bits,docLen = 39
Perplexity = 60.55, Entropy = 5.92 bits,docLen = 59
Perplexity = 562.93, Entropy = 9.14 bits,docLen = 23
Perplexity = 230.18, Entropy = 7.85 bits,docLen = 63
Perplexity = 148.28, Entropy = 7.21 bits,docLen = 59
Perplexity = 281.52, Entropy = 8.14 bits,docLen = 35
Perplexity = 204.33, Entropy = 7.67 bits,docLen = 76
Perplexity = 78.11, Entropy = 6.29 bits,docLen = 32
Perplexity = 261.28, Entropy = 8.03 bits,docLen = 22
Perplexity = 71.46, Entropy = 6.16 bits,docLen = 52
Perplexity = 122.87, Entropy = 6.94 bits,docLen = 50
Perplexity = 75.80, Entropy = 6.24 bits,docLen = 44
Perplexity = 273.35, Entropy = 8.09 bits,docLen = 40
Perplexity = 98.32, Entropy = 6.62 bits,docLen = 44
Perplexity = 262.03, Entropy = 8.03 bits,docLen = 16
Perplexity = 634.07, Entropy = 9.31 bits,docLen = 39
Perplexity = 135.83, Entropy = 7.09 bits,docLen = 45
Perplexity = 83.25, Entropy = 6.38 bits,docLen = 46
Perplexity = 129.48, Entropy = 7.02 bits,docLen = 40
Perplexity = 198.20, Entropy = 7.63 bits,docLen = 57
Perplexity = 113.87, Entropy = 6.83 bits,docLen = 36
Perplexity = 3.06, Entropy = 1.62 bits,docLen = 18
Perplexity = 168.95, Entropy = 7.40 bits,docLen = 19
Perplexity = 170.16, Entropy = 7.41 bits,docLen = 65
Perplexity = 133.76, Entropy = 7.06 bits,docLen = 55
Perplexity = 171.76, Entropy = 7.42 bits,docLen = 69
Perplexity = 94.09, Entropy = 6.56 bits,docLen = 48
Perplexity = 172.49, Entropy = 7.43 bits,docLen = 48
Perplexity = 282.49, Entropy = 8.14 bits,docLen = 26
Perplexity = 19.06, Entropy = 4.25 bits,docLen = 46
Perplexity = 58.30, Entropy = 5.87 bits,docLen = 57
Perplexity = 142.65, Entropy = 7.16 bits,docLen = 56
Perplexity = 44.90, Entropy = 5.49 bits,docLen = 30
Perplexity = 41.05, Entropy = 5.36 bits,docLen = 45
Perplexity = 123.02, Entropy = 6.94 bits,docLen = 71
Perplexity = 51.11, Entropy = 5.68 bits,docLen = 54
Perplexity = 130.58, Entropy = 7.03 bits,docLen = 54
Perplexity = 203.06, Entropy = 7.67 bits,docLen = 53
Perplexity = 546.27, Entropy = 9.09 bits,docLen = 58
Perplexity = 54.34, Entropy = 5.76 bits,docLen = 111
Perplexity = 130.77, Entropy = 7.03 bits,docLen = 58
Perplexity = 207.36, Entropy = 7.70 bits,docLen = 79
Perplexity = 137.81, Entropy = 7.11 bits,docLen = 36
Perplexity = 76.39, Entropy = 6.26 bits,docLen = 74
Perplexity = 198.07, Entropy = 7.63 bits,docLen = 44
Perplexity = 113.92, Entropy = 6.83 bits,docLen = 100
Perplexity = 216.37, Entropy = 7.76 bits,docLen = 78
Perplexity = 111.02, Entropy = 6.79 bits,docLen = 72
Perplexity = 154.15, Entropy = 7.27 bits,docLen = 45
Perplexity = 172.01, Entropy = 7.43 bits,docLen = 85
Perplexity = 203.13, Entropy = 7.67 bits,docLen = 138
Perplexity = 10.45, Entropy = 3.38 bits,docLen = 32
Perplexity = 166.44, Entropy = 7.38 bits,docLen = 154
Perplexity = 191.76, Entropy = 7.58 bits,docLen = 88
Perplexity = 69.48, Entropy = 6.12 bits,docLen = 43
Perplexity = 296.19, Entropy = 8.21 bits,docLen = 96
Perplexity = 230.08, Entropy = 7.85 bits,docLen = 74
Perplexity = 67.96, Entropy = 6.09 bits,docLen = 97
Perplexity = 132.85, Entropy = 7.05 bits,docLen = 78
Perplexity = 104.14, Entropy = 6.70 bits,docLen = 87
Perplexity = 132.27, Entropy = 7.05 bits,docLen = 67
Perplexity = 302.62, Entropy = 8.24 bits,docLen = 69
Perplexity = 167.37, Entropy = 7.39 bits,docLen = 90
Perplexity = 62.72, Entropy = 5.97 bits,docLen = 57
