Perplexity = 607.45, Entropy = 9.25 bits,docLen = 28
Perplexity = 78.96, Entropy = 6.30 bits,docLen = 27
Perplexity = 21.92, Entropy = 4.45 bits,docLen = 16
Perplexity = 96.53, Entropy = 6.59 bits,docLen = 24
Perplexity = 218.38, Entropy = 7.77 bits,docLen = 19
Perplexity = 510.52, Entropy = 9.00 bits,docLen = 8
Perplexity = 587.61, Entropy = 9.20 bits,docLen = 9
Perplexity = 170.64, Entropy = 7.41 bits,docLen = 26
Perplexity = 510.49, Entropy = 9.00 bits,docLen = 17
Perplexity = 111.27, Entropy = 6.80 bits,docLen = 12
Perplexity = 38.11, Entropy = 5.25 bits,docLen = 8
Perplexity = 68.73, Entropy = 6.10 bits,docLen = 47
Perplexity = 52.55, Entropy = 5.72 bits,docLen = 27
Perplexity = 65.73, Entropy = 6.04 bits,docLen = 31
Perplexity = 81.72, Entropy = 6.35 bits,docLen = 23
Perplexity = 56.08, Entropy = 5.81 bits,docLen = 4
Perplexity = 150.73, Entropy = 7.24 bits,docLen = 22
Perplexity = 64.14, Entropy = 6.00 bits,docLen = 12
Perplexity = 84.02, Entropy = 6.39 bits,docLen = 24
Perplexity = 68.99, Entropy = 6.11 bits,docLen = 52
Perplexity = 113.07, Entropy = 6.82 bits,docLen = 19
Perplexity = 195.29, Entropy = 7.61 bits,docLen = 13
Perplexity = 245.21, Entropy = 7.94 bits,docLen = 30
Perplexity = 265.67, Entropy = 8.05 bits,docLen = 11
Perplexity = 102.93, Entropy = 6.69 bits,docLen = 23
Perplexity = 127.19, Entropy = 6.99 bits,docLen = 35
Perplexity = 34.03, Entropy = 5.09 bits,docLen = 25
Perplexity = 91.04, Entropy = 6.51 bits,docLen = 10
Perplexity = 91.40, Entropy = 6.51 bits,docLen = 30
Perplexity = 100.26, Entropy = 6.65 bits,docLen = 26
Perplexity = 33.68, Entropy = 5.07 bits,docLen = 12
Perplexity = 467.37, Entropy = 8.87 bits,docLen = 16
Perplexity = 75.72, Entropy = 6.24 bits,docLen = 20
Perplexity = 77.42, Entropy = 6.27 bits,docLen = 18
Perplexity = 102.07, Entropy = 6.67 bits,docLen = 31
Perplexity = 199.47, Entropy = 7.64 bits,docLen = 77
Perplexity = 106.11, Entropy = 6.73 bits,docLen = 25
Perplexity = 78.07, Entropy = 6.29 bits,docLen = 14
Perplexity = 12.12, Entropy = 3.60 bits,docLen = 22
Perplexity = 79.83, Entropy = 6.32 bits,docLen = 22
Perplexity = 49.27, Entropy = 5.62 bits,docLen = 32
Perplexity = 90.16, Entropy = 6.49 bits,docLen = 19
Perplexity = 52.75, Entropy = 5.72 bits,docLen = 48
Perplexity = 332.21, Entropy = 8.38 bits,docLen = 39
Perplexity = 64.32, Entropy = 6.01 bits,docLen = 59
Perplexity = 545.83, Entropy = 9.09 bits,docLen = 23
Perplexity = 217.75, Entropy = 7.77 bits,docLen = 63
Perplexity = 147.42, Entropy = 7.20 bits,docLen = 59
Perplexity = 286.99, Entropy = 8.16 bits,docLen = 35
Perplexity = 192.97, Entropy = 7.59 bits,docLen = 76
Perplexity = 76.87, Entropy = 6.26 bits,docLen = 32
Perplexity = 253.74, Entropy = 7.99 bits,docLen = 22
Perplexity = 73.50, Entropy = 6.20 bits,docLen = 52
