Perplexity = 132.83, Entropy = 7.05 bits,docLen = 67
Perplexity = 304.77, Entropy = 8.25 bits,docLen = 69
Perplexity = 165.01, Entropy = 7.37 bits,docLen = 90
Perplexity = 65.52, Entropy = 6.03 bits,docLen = 57
Perplexity = 194.50, Entropy = 7.60 bits,docLen = 40
Perplexity = 26.57, Entropy = 4.73 bits,docLen = 126
Perplexity = 207.85, Entropy = 7.70 bits,docLen = 96
Perplexity = 115.42, Entropy = 6.85 bits,docLen = 120
Perplexity = 114.44, Entropy = 6.84 bits,docLen = 68
Perplexity = 81.35, Entropy = 6.35 bits,docLen = 90
Perplexity = 183.29, Entropy = 7.52 bits,docLen = 94
Perplexity = 162.69, Entropy = 7.35 bits,docLen = 144
Perplexity = 78.15, Entropy = 6.29 bits,docLen = 71
Perplexity = 208.12, Entropy = 7.70 bits,docLen = 112
Perplexity = 69.65, Entropy = 6.12 bits,docLen = 82
Perplexity = 106.90, Entropy = 6.74 bits,docLen = 93
Perplexity = 208.61, Entropy = 7.70 bits,docLen = 48
Perplexity = 96.02, Entropy = 6.59 bits,docLen = 127
Perplexity = 334.89, Entropy = 8.39 bits,docLen = 158
Perplexity = 65.20, Entropy = 6.03 bits,docLen = 97
Perplexity = 78.77, Entropy = 6.30 bits,docLen = 56
Perplexity = 79.05, Entropy = 6.30 bits,docLen = 145
Perplexity = 133.55, Entropy = 7.06 bits,docLen = 95
Perplexity = 139.30, Entropy = 7.12 bits,docLen = 146
Perplexity = 151.47, Entropy = 7.24 bits,docLen = 160
Perplexity = 86.73, Entropy = 6.44 bits,docLen = 83
Perplexity = 114.46, Entropy = 6.84 bits,docLen = 117
Perplexity = 61.52, Entropy = 5.94 bits,docLen = 135
Perplexity = 130.77, Entropy = 7.03 bits,docLen = 66
Perplexity = 99.19, Entropy = 6.63 bits,docLen = 129
Perplexity = 136.95, Entropy = 7.10 bits,docLen = 100
Perplexity = 45.48, Entropy = 5.51 bits,docLen = 80
Perplexity = 208.23, Entropy = 7.70 bits,docLen = 75
Perplexity = 184.85, Entropy = 7.53 bits,docLen = 129
Perplexity = 135.29, Entropy = 7.08 bits,docLen = 142
Perplexity = 84.50, Entropy = 6.40 bits,docLen = 94
Perplexity = 235.88, Entropy = 7.88 bits,docLen = 113
Perplexity = 237.32, Entropy = 7.89 bits,docLen = 201
Perplexity = 199.47, Entropy = 7.64 bits,docLen = 132
Perplexity = 191.26, Entropy = 7.58 bits,docLen = 100
Perplexity = 137.01, Entropy = 7.10 bits,docLen = 185
Perplexity = 217.55, Entropy = 7.77 bits,docLen = 104
Perplexity = 152.17, Entropy = 7.25 bits,docLen = 279
Perplexity = 78.84, Entropy = 6.30 bits,docLen = 187
Perplexity = 220.09, Entropy = 7.78 bits,docLen = 179
Perplexity = 4.52, Entropy = 2.17 bits,docLen = 115
Perplexity = 118.21, Entropy = 6.89 bits,docLen = 136
Perplexity = 64.01, Entropy = 6.00 bits,docLen = 220
Perplexity = 156.65, Entropy = 7.29 bits,docLen = 151
Perplexity = 104.73, Entropy = 6.71 bits,docLen = 123
Perplexity = 276.72, Entropy = 8.11 bits,docLen = 252
Perplexity = 164.13, Entropy = 7.36 bits,docLen = 190
Perplexity = 184.50, Entropy = 7.53 bits,docLen = 157
Perplexity = 46.36, Entropy = 5.53 bits,docLen = 171
Perplexity = 130.52, Entropy = 7.03 bits,docLen = 137
Perplexity = 144.81, Entropy = 7.18 bits,docLen = 174
Perplexity = 222.16, Entropy = 7.80 bits,docLen = 173
Perplexity = 81.30, Entropy = 6.35 bits,docLen = 253
Perplexity = 175.39, Entropy = 7.45 bits,docLen = 277
Perplexity = 130.46, Entropy = 7.03 bits,docLen = 215
Perplexity = 122.74, Entropy = 6.94 bits,docLen = 277
Perplexity = 77.94, Entropy = 6.28 bits,docLen = 236
Perplexity = 185.79, Entropy = 7.54 bits,docLen = 281
Perplexity = 238.16, Entropy = 7.90 bits,docLen = 299
Perplexity = 133.07, Entropy = 7.06 bits,docLen = 232
Perplexity = 100.50, Entropy = 6.65 bits,docLen = 118
Perplexity = 170.77, Entropy = 7.42 bits,docLen = 345
Perplexity = 82.47, Entropy = 6.37 bits,docLen = 265
Perplexity = 127.62, Entropy = 7.00 bits,docLen = 288
Perplexity = 98.30, Entropy = 6.62 bits,docLen = 197
Perplexity = 170.41, Entropy = 7.41 bits,docLen = 244
Perplexity = 37.09, Entropy = 5.21 bits,docLen = 204
Perplexity = 151.15, Entropy = 7.24 bits,docLen = 428
Perplexity = 80.42, Entropy = 6.33 bits,docLen = 256
Perplexity = 182.40, Entropy = 7.51 bits,docLen = 293
Perplexity = 191.19, Entropy = 7.58 bits,docLen = 165
Perplexity = 156.25, Entropy = 7.29 bits,docLen = 244
Perplexity = 116.54, Entropy = 6.86 bits,docLen = 192
Perplexity = 166.61, Entropy = 7.38 bits,docLen = 298
Perplexity = 55.76, Entropy = 5.80 bits,docLen = 259
