Perplexity = 109.63, Entropy = 6.78 bits
Perplexity = 57.85, Entropy = 5.85 bits
Perplexity = 139.94, Entropy = 7.13 bits
Perplexity = 257.19, Entropy = 8.01 bits
Perplexity = 113.38, Entropy = 6.83 bits
Perplexity = 89.36, Entropy = 6.48 bits
Perplexity = 164.83, Entropy = 7.36 bits
Perplexity = 258.54, Entropy = 8.01 bits
Perplexity = 130.18, Entropy = 7.02 bits
Perplexity = 129.91, Entropy = 7.02 bits
Perplexity = 92.55, Entropy = 6.53 bits
Perplexity = 214.70, Entropy = 7.75 bits
Perplexity = 123.72, Entropy = 6.95 bits
Perplexity = 79.49, Entropy = 6.31 bits
Perplexity = 142.37, Entropy = 7.15 bits
Perplexity = 32.13, Entropy = 5.01 bits
Perplexity = 81.89, Entropy = 6.36 bits
Perplexity = 64.59, Entropy = 6.01 bits
Perplexity = 113.97, Entropy = 6.83 bits
Perplexity = 94.37, Entropy = 6.56 bits
Perplexity = 236.66, Entropy = 7.89 bits
Perplexity = 156.24, Entropy = 7.29 bits
Perplexity = 127.23, Entropy = 6.99 bits
Perplexity = 67.72, Entropy = 6.08 bits
Perplexity = 95.21, Entropy = 6.57 bits
Perplexity = 124.86, Entropy = 6.96 bits
Perplexity = 143.52, Entropy = 7.17 bits
Perplexity = 91.14, Entropy = 6.51 bits
Perplexity = 126.39, Entropy = 6.98 bits
Perplexity = 128.01, Entropy = 7.00 bits
Perplexity = 108.50, Entropy = 6.76 bits
Perplexity = 72.00, Entropy = 6.17 bits
Perplexity = 146.02, Entropy = 7.19 bits
Perplexity = 255.55, Entropy = 8.00 bits
Perplexity = 88.22, Entropy = 6.46 bits
Perplexity = 65.03, Entropy = 6.02 bits
Perplexity = 138.50, Entropy = 7.11 bits
Perplexity = 92.38, Entropy = 6.53 bits
Perplexity = 95.79, Entropy = 6.58 bits
Perplexity = 103.71, Entropy = 6.70 bits
Perplexity = 124.27, Entropy = 6.96 bits
Perplexity = 50.93, Entropy = 5.67 bits
Perplexity = 121.75, Entropy = 6.93 bits
Perplexity = 81.86, Entropy = 6.36 bits
Perplexity = 146.60, Entropy = 7.20 bits
Perplexity = 137.97, Entropy = 7.11 bits
Perplexity = 110.34, Entropy = 6.79 bits
Perplexity = 96.68, Entropy = 6.60 bits
Perplexity = 113.82, Entropy = 6.83 bits
Perplexity = 55.41, Entropy = 5.79 bits
Perplexity = 94.19, Entropy = 6.56 bits
Perplexity = 86.74, Entropy = 6.44 bits
