Perplexity = 476.39, Entropy = 8.90 bits
Perplexity = 293.79, Entropy = 8.20 bits
Perplexity = 521.34, Entropy = 9.03 bits
Perplexity = 1877.97, Entropy = 10.87 bits
Perplexity = 74.14, Entropy = 6.21 bits
Perplexity = 167.62, Entropy = 7.39 bits
Perplexity = 266.73, Entropy = 8.06 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 74.24, Entropy = 6.21 bits
Perplexity = 278.00, Entropy = 8.12 bits
Perplexity = 114.02, Entropy = 6.83 bits
Perplexity = 131.00, Entropy = 7.03 bits
Perplexity = 210.44, Entropy = 7.72 bits
Perplexity = 193.10, Entropy = 7.59 bits
Perplexity = 144.56, Entropy = 7.18 bits
Perplexity = 218.63, Entropy = 7.77 bits
Perplexity = 138.38, Entropy = 7.11 bits
Perplexity = 149.80, Entropy = 7.23 bits
Perplexity = 521.04, Entropy = 9.03 bits
Perplexity = 141.80, Entropy = 7.15 bits
Perplexity = 241.76, Entropy = 7.92 bits
Perplexity = 396.31, Entropy = 8.63 bits
Perplexity = 299.21, Entropy = 8.23 bits
Perplexity = 216.70, Entropy = 7.76 bits
Perplexity = 214.97, Entropy = 7.75 bits
Perplexity = 249.92, Entropy = 7.97 bits
Perplexity = 170.05, Entropy = 7.41 bits
Perplexity = 181.23, Entropy = 7.50 bits
Perplexity = 51.82, Entropy = 5.70 bits
Perplexity = 267.48, Entropy = 8.06 bits
Perplexity = 93.81, Entropy = 6.55 bits
Perplexity = 72.38, Entropy = 6.18 bits
Perplexity = 172.80, Entropy = 7.43 bits
Perplexity = 317.10, Entropy = 8.31 bits
Perplexity = 501.39, Entropy = 8.97 bits
Perplexity = 273.50, Entropy = 8.10 bits
Perplexity = 173.68, Entropy = 7.44 bits
Perplexity = 302.22, Entropy = 8.24 bits
Perplexity = 34.67, Entropy = 5.12 bits
Perplexity = 349.92, Entropy = 8.45 bits
Perplexity = 158.92, Entropy = 7.31 bits
Perplexity = 10365.41, Entropy = 13.34 bits
Perplexity = 314.61, Entropy = 8.30 bits
Perplexity = 322.75, Entropy = 8.33 bits
Perplexity = 138.46, Entropy = 7.11 bits
Perplexity = 116.53, Entropy = 6.86 bits
Perplexity = 242.15, Entropy = 7.92 bits
Perplexity = 193.20, Entropy = 7.59 bits
Perplexity = 803.21, Entropy = 9.65 bits
Perplexity = 269.86, Entropy = 8.08 bits
Perplexity = 398.86, Entropy = 8.64 bits
Perplexity = 217.37, Entropy = 7.76 bits
Perplexity = 217.32, Entropy = 7.76 bits
Perplexity = 115.83, Entropy = 6.86 bits
Perplexity = 211.50, Entropy = 7.72 bits
Perplexity = 143.14, Entropy = 7.16 bits
Perplexity = 117.36, Entropy = 6.87 bits
Perplexity = 257.60, Entropy = 8.01 bits
Perplexity = 137.75, Entropy = 7.11 bits
Perplexity = 213.70, Entropy = 7.74 bits
Perplexity = 122.40, Entropy = 6.94 bits
Perplexity = 228.57, Entropy = 7.84 bits
Perplexity = 539.02, Entropy = 9.07 bits
Perplexity = 121.93, Entropy = 6.93 bits
Perplexity = 161.60, Entropy = 7.34 bits
Perplexity = 91.00, Entropy = 6.51 bits
Perplexity = 300.73, Entropy = 8.23 bits
Perplexity = 153.78, Entropy = 7.26 bits
Perplexity = 18654.38, Entropy = 14.19 bits
Perplexity = 384.44, Entropy = 8.59 bits
Perplexity = 137.62, Entropy = 7.10 bits
Perplexity = 286.49, Entropy = 8.16 bits
