Perplexity = 68.46, Entropy = 6.10 bits
Perplexity = 112.86, Entropy = 6.82 bits
Perplexity = 274.88, Entropy = 8.10 bits
Perplexity = 100.98, Entropy = 6.66 bits
Perplexity = 85.56, Entropy = 6.42 bits
Perplexity = 88.05, Entropy = 6.46 bits
Perplexity = 88.68, Entropy = 6.47 bits
Perplexity = 190.63, Entropy = 7.57 bits
Perplexity = 130.18, Entropy = 7.02 bits
Perplexity = 131.96, Entropy = 7.04 bits
Perplexity = 134.05, Entropy = 7.07 bits
Perplexity = 187.40, Entropy = 7.55 bits
Perplexity = 129.84, Entropy = 7.02 bits
Perplexity = 115.77, Entropy = 6.86 bits
Perplexity = 145.10, Entropy = 7.18 bits
Perplexity = 150.14, Entropy = 7.23 bits
Perplexity = 154.73, Entropy = 7.27 bits
Perplexity = 96.09, Entropy = 6.59 bits
Perplexity = 96.48, Entropy = 6.59 bits
Perplexity = 104.61, Entropy = 6.71 bits
Perplexity = 113.02, Entropy = 6.82 bits
Perplexity = 108.53, Entropy = 6.76 bits
Perplexity = 116.56, Entropy = 6.86 bits
Perplexity = 55.87, Entropy = 5.80 bits
Perplexity = 201.37, Entropy = 7.65 bits
Perplexity = 136.12, Entropy = 7.09 bits
Perplexity = 67.52, Entropy = 6.08 bits
Perplexity = 180.47, Entropy = 7.50 bits
Perplexity = 308.52, Entropy = 8.27 bits
Perplexity = 116.06, Entropy = 6.86 bits
Perplexity = 120.74, Entropy = 6.92 bits
Perplexity = 106.10, Entropy = 6.73 bits
Perplexity = 218.35, Entropy = 7.77 bits
Perplexity = 94.81, Entropy = 6.57 bits
Perplexity = 107.45, Entropy = 6.75 bits
Perplexity = 114.03, Entropy = 6.83 bits
Perplexity = 121.91, Entropy = 6.93 bits
Perplexity = 210.74, Entropy = 7.72 bits
Perplexity = 298.88, Entropy = 8.22 bits
Perplexity = 116.40, Entropy = 6.86 bits
Perplexity = 193.55, Entropy = 7.60 bits
Perplexity = 116.94, Entropy = 6.87 bits
Perplexity = 103.08, Entropy = 6.69 bits
Perplexity = 144.04, Entropy = 7.17 bits
Perplexity = 165.44, Entropy = 7.37 bits
Perplexity = 117.64, Entropy = 6.88 bits
Perplexity = 200.32, Entropy = 7.65 bits
Perplexity = 123.12, Entropy = 6.94 bits
Perplexity = 90.73, Entropy = 6.50 bits
Perplexity = 98.77, Entropy = 6.63 bits
Perplexity = 99.47, Entropy = 6.64 bits
Perplexity = 119.55, Entropy = 6.90 bits
Perplexity = 113.18, Entropy = 6.82 bits
Perplexity = 101.37, Entropy = 6.66 bits
Perplexity = 122.52, Entropy = 6.94 bits
Perplexity = 132.46, Entropy = 7.05 bits
Perplexity = 192.97, Entropy = 7.59 bits
Perplexity = 208.56, Entropy = 7.70 bits
Perplexity = 119.34, Entropy = 6.90 bits
Perplexity = 130.76, Entropy = 7.03 bits
Perplexity = 85.67, Entropy = 6.42 bits
Perplexity = 111.16, Entropy = 6.80 bits
Perplexity = 113.23, Entropy = 6.82 bits
Perplexity = 118.90, Entropy = 6.89 bits
Perplexity = 116.54, Entropy = 6.86 bits
Perplexity = 141.47, Entropy = 7.14 bits
Perplexity = 104.20, Entropy = 6.70 bits
Perplexity = 106.62, Entropy = 6.74 bits
Perplexity = 175.21, Entropy = 7.45 bits
Perplexity = 129.58, Entropy = 7.02 bits
Perplexity = 89.69, Entropy = 6.49 bits
Perplexity = 97.84, Entropy = 6.61 bits
Perplexity = 104.55, Entropy = 6.71 bits
Perplexity = 166.55, Entropy = 7.38 bits
Perplexity = 124.13, Entropy = 6.96 bits
Perplexity = 126.58, Entropy = 6.98 bits
Perplexity = 49.73, Entropy = 5.64 bits
Perplexity = 166.59, Entropy = 7.38 bits
Perplexity = 214.26, Entropy = 7.74 bits
Perplexity = 103.10, Entropy = 6.69 bits
Perplexity = 121.90, Entropy = 6.93 bits
Perplexity = 188.16, Entropy = 7.56 bits
Perplexity = 361.70, Entropy = 8.50 bits
Perplexity = 273.23, Entropy = 8.09 bits
Perplexity = 98.18, Entropy = 6.62 bits
Perplexity = 86.17, Entropy = 6.43 bits
Perplexity = 149.51, Entropy = 7.22 bits
Perplexity = 74.76, Entropy = 6.22 bits
Perplexity = 129.05, Entropy = 7.01 bits
Perplexity = 123.85, Entropy = 6.95 bits
Perplexity = 118.47, Entropy = 6.89 bits
Perplexity = 109.57, Entropy = 6.78 bits
Perplexity = 234.82, Entropy = 7.88 bits
Perplexity = 146.19, Entropy = 7.19 bits
Perplexity = 119.25, Entropy = 6.90 bits
Perplexity = 160.33, Entropy = 7.32 bits
Perplexity = 136.29, Entropy = 7.09 bits
Perplexity = 73.91, Entropy = 6.21 bits
Perplexity = 102.40, Entropy = 6.68 bits
Perplexity = 134.13, Entropy = 7.07 bits
Perplexity = 94.63, Entropy = 6.56 bits
Perplexity = 110.87, Entropy = 6.79 bits
Perplexity = 128.01, Entropy = 7.00 bits
Perplexity = 256.44, Entropy = 8.00 bits
Perplexity = 167.79, Entropy = 7.39 bits
Perplexity = 345.05, Entropy = 8.43 bits
Perplexity = 136.00, Entropy = 7.09 bits
Perplexity = 218.13, Entropy = 7.77 bits
Perplexity = 286.24, Entropy = 8.16 bits
Perplexity = 100.60, Entropy = 6.65 bits
Perplexity = 124.54, Entropy = 6.96 bits
Perplexity = 121.24, Entropy = 6.92 bits
Perplexity = 92.49, Entropy = 6.53 bits
Perplexity = 123.79, Entropy = 6.95 bits
Perplexity = 85.30, Entropy = 6.41 bits
Perplexity = 104.06, Entropy = 6.70 bits
Perplexity = 82.45, Entropy = 6.37 bits
Perplexity = 98.02, Entropy = 6.61 bits
Perplexity = 107.79, Entropy = 6.75 bits
Perplexity = 114.56, Entropy = 6.84 bits
Perplexity = 119.20, Entropy = 6.90 bits
Perplexity = 276.41, Entropy = 8.11 bits
Perplexity = 136.01, Entropy = 7.09 bits
Perplexity = 125.41, Entropy = 6.97 bits
Perplexity = 74.29, Entropy = 6.22 bits
Perplexity = 130.44, Entropy = 7.03 bits
Perplexity = 199.50, Entropy = 7.64 bits
Perplexity = 110.77, Entropy = 6.79 bits
Perplexity = 79.39, Entropy = 6.31 bits
Perplexity = 90.95, Entropy = 6.51 bits
Perplexity = 109.31, Entropy = 6.77 bits
Perplexity = 97.88, Entropy = 6.61 bits
Perplexity = 96.70, Entropy = 6.60 bits
Perplexity = 122.03, Entropy = 6.93 bits
Perplexity = 113.50, Entropy = 6.83 bits
Perplexity = 121.64, Entropy = 6.93 bits
Perplexity = 143.00, Entropy = 7.16 bits
Perplexity = 178.62, Entropy = 7.48 bits
Perplexity = 107.93, Entropy = 6.75 bits
Perplexity = 84.60, Entropy = 6.40 bits
Perplexity = 89.00, Entropy = 6.48 bits
