Perplexity = 133.13, Entropy = 7.06 bits
Perplexity = 73.48, Entropy = 6.20 bits
Perplexity = 153.05, Entropy = 7.26 bits
Perplexity = 177.45, Entropy = 7.47 bits
Perplexity = 118.97, Entropy = 6.89 bits
Perplexity = 99.09, Entropy = 6.63 bits
Perplexity = 246.81, Entropy = 7.95 bits
Perplexity = 296.42, Entropy = 8.21 bits
Perplexity = 147.57, Entropy = 7.21 bits
Perplexity = 102.53, Entropy = 6.68 bits
Perplexity = 109.44, Entropy = 6.77 bits
Perplexity = 246.07, Entropy = 7.94 bits
Perplexity = 143.76, Entropy = 7.17 bits
Perplexity = 87.16, Entropy = 6.45 bits
Perplexity = 186.49, Entropy = 7.54 bits
Perplexity = 29.79, Entropy = 4.90 bits
Perplexity = 109.46, Entropy = 6.77 bits
Perplexity = 64.03, Entropy = 6.00 bits
Perplexity = 167.62, Entropy = 7.39 bits
Perplexity = 127.91, Entropy = 7.00 bits
Perplexity = 216.99, Entropy = 7.76 bits
Perplexity = 202.50, Entropy = 7.66 bits
Perplexity = 199.79, Entropy = 7.64 bits
Perplexity = 84.28, Entropy = 6.40 bits
Perplexity = 124.83, Entropy = 6.96 bits
Perplexity = 157.73, Entropy = 7.30 bits
Perplexity = 183.86, Entropy = 7.52 bits
Perplexity = 80.86, Entropy = 6.34 bits
Perplexity = 146.17, Entropy = 7.19 bits
Perplexity = 113.73, Entropy = 6.83 bits
Perplexity = 110.48, Entropy = 6.79 bits
Perplexity = 83.02, Entropy = 6.38 bits
Perplexity = 162.16, Entropy = 7.34 bits
Perplexity = 260.80, Entropy = 8.03 bits
Perplexity = 105.91, Entropy = 6.73 bits
Perplexity = 90.10, Entropy = 6.49 bits
Perplexity = 153.93, Entropy = 7.27 bits
Perplexity = 76.18, Entropy = 6.25 bits
Perplexity = 113.75, Entropy = 6.83 bits
Perplexity = 114.10, Entropy = 6.83 bits
Perplexity = 163.00, Entropy = 7.35 bits
Perplexity = 49.52, Entropy = 5.63 bits
Perplexity = 126.97, Entropy = 6.99 bits
Perplexity = 86.59, Entropy = 6.44 bits
Perplexity = 172.59, Entropy = 7.43 bits
Perplexity = 178.35, Entropy = 7.48 bits
Perplexity = 131.04, Entropy = 7.03 bits
Perplexity = 122.05, Entropy = 6.93 bits
